prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,svdd_auc,svdd_ap,mean_svdd_loss,ssl_auc,ssl_ap,num_graphs,mean_inference_seconds,dataset,run_name,seed,epochs_completed,training_seconds,peak_process_memory_mb,peak_gpu_memory_mb,parameters,device,threshold_source,checkpoint_selection,evaluation_split,max_train_graphs_per_epoch,max_evaluation_graphs,evaluation_sampling,experimental_stage,search,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,model.attention_temperature,model.prototype_momentum
0.34575,0.7862526873208739,0.7085523842599979,0.01,40.0,0.95,0.0274765003615329,0.01,0.2754880694143167,0.0008436824794625,0.9230769230769232,0.2776572668112798,0.4269038354641467,0.4135533237672357,0.0122277416889568,0.7852624435976903,0.7111455928784503,0.0005812532597665,0.7493913896871531,0.6448502435664537,4000,0.0003450184506364,TraceLog,trial_0000_ce391823,11,5,59.37075203098357,3723.33203125,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,0,trial_0000_ce391823,0.003,1.0,0.001,0.25,0.5
0.34575,0.8114040213731288,0.7576539141190785,0.01,40.0,1.0,0.0289226319595083,0.01,0.292118582791034,0.0008215730835217,0.9588377723970944,0.2863340563991323,0.4409799554565701,0.4374002550697121,0.0064959877722583,0.7814738772103309,0.7231182666751554,0.0007389245257545,0.7348600327520901,0.6615177520186498,4000,0.0005290349270217,TraceLog,trial_0001_b0e1a6e4,11,6,71.93814254924655,3740.2109375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,1,trial_0001_b0e1a6e4,0.003,1.0,0.001,0.25,0.7
0.34575,0.7811148309719722,0.7064839636542073,0.01,40.0,0.95,0.0274765003615329,0.01,0.2675343456254519,0.0008111658756388,0.9232673267326732,0.269703543022415,0.4174594292109681,0.4069985851454972,0.0118456247611769,0.7686342787342675,0.6948323331857243,0.0007271586066999,0.735192830900688,0.6556075625496103,4000,0.0008923961310647,TraceLog,trial_0002_17aa2878,11,5,60.51717410795391,3741.59765625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,2,trial_0002_17aa2878,0.003,1.0,0.001,0.25,0.9
0.34575,0.8198583929372192,0.7574196365150547,0.01,40.0,1.0,0.0289226319595083,0.01,0.3694866232827187,0.0014758145576342,0.9585687382297552,0.3680404916847433,0.5318704284221526,0.5041086933107802,0.0084065724111578,0.8316634022331875,0.7639847773437743,0.0015788074105876,0.6044472276629447,0.60678282695017,4000,0.0007164505892433,TraceLog,trial_0003_6999726e,11,4,50.65910118445754,3741.59765625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,3,trial_0003_6999726e,0.003,1.0,0.001,0.25,0.99
0.34575,0.8384692556124633,0.7697158603803756,0.01,40.0,0.95,0.0274765003615329,0.01,0.3420101229211858,0.0008039881952572,0.9503386004514672,0.304410701373825,0.4611171960569551,0.448607907739065,0.0084065724111578,0.8387708323490299,0.7628063730526486,0.0006731443760363,0.7958927818029454,0.7045863667178118,4000,0.0006554476921446,TraceLog,trial_0004_9a016409,11,5,59.98942734114826,3741.7890625,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,4,trial_0004_9a016409,0.003,1.0,0.001,0.5,0.5
0.34575,0.8024151558128053,0.7457917536504761,0.01,40.0,1.0,0.0289226319595083,0.01,0.2885032537960954,0.0010334792430512,0.936768149882904,0.2892263195950831,0.4419889502762431,0.4295812203643567,0.0103171570500573,0.7983324726722849,0.7376798603931498,0.0007794416484684,0.5370551190544278,0.5338793843766216,4000,0.0004118727254681,TraceLog,trial_0005_92afaae5,11,6,71.1864753626287,3725.60546875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,5,trial_0005_92afaae5,0.003,1.0,0.001,0.5,0.7
0.34575,0.8293092248773316,0.7583532719086126,0.01,40.0,0.95,0.0274765003615329,0.01,0.2762111352133044,0.0009848700556904,0.9339853300733496,0.2762111352133044,0.4263392857142857,0.4173996653766038,0.0103171570500573,0.8216945158899027,0.7456134189429362,0.0007547005968808,0.6870774575602925,0.625103666953883,4000,0.0005030765510164,TraceLog,trial_0006_017f9607,11,5,59.07268289476633,3741.609375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,6,trial_0006_017f9607,0.003,1.0,0.001,0.5,0.9
0.34575,0.8149787349028585,0.7492511557811611,0.01,40.0,1.0,0.0289226319595083,0.01,0.3629790310918293,0.0010418395989108,0.9576923076923076,0.3600867678958785,0.5233841303205465,0.4973585288307538,0.0084065724111578,0.8123960610182435,0.747407552744523,0.0013829967175406,0.7843052172084688,0.7050463963444391,4000,0.0004221316757611,TraceLog,trial_0007_8acf2f8a,11,5,57.2225678358227,3725.859375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,7,trial_0007_8acf2f8a,0.003,1.0,0.001,0.5,0.99
0.34575,0.8442287772451719,0.7774325316305513,0.01,40.0,0.95,0.0274765003615329,0.01,0.2740419378163413,0.0012861530994996,0.928921568627451,0.2740419378163413,0.4232272473478504,0.4132428044138742,0.0110813909056171,0.8512425431249209,0.7842374024507693,0.0007857034722619,0.5571079688924219,0.5528311617476489,4000,0.0004305472332052,TraceLog,trial_0008_e3ac475b,11,4,45.99006836488843,3741.609375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,8,trial_0008_e3ac475b,0.003,1.0,0.001,1.0,0.5
0.34575,0.8191984607014983,0.7537105790438763,0.01,40.0,0.95,0.0274765003615329,0.01,0.2704266088214027,0.0010352629167027,0.9384615384615383,0.3087490961677512,0.4646354733405876,0.4464655980136975,0.0106992739778372,0.8366743007163518,0.7700969603930733,0.0008290289627475,0.6656758703521195,0.6013799728852025,4000,0.0004902360858395,TraceLog,trial_0009_7a2f77ca,11,4,46.36748995445669,3741.609375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,9,trial_0009_7a2f77ca,0.003,1.0,0.001,1.0,0.7
0.34575,0.8348287837104909,0.7632434835452073,0.01,40.0,0.95,0.0274765003615329,0.01,0.3318872017353579,0.0008652407763292,0.9522821576763484,0.3318872017353579,0.492225201072386,0.4720374690828052,0.0087886893389377,0.853529995073648,0.7876363668854004,0.0007424423327611,0.6678431336793109,0.5913719700785113,4000,0.0004039587052538,TraceLog,trial_0010_407299c6,11,5,58.70078559406102,3741.609375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,10,trial_0010_407299c6,0.003,1.0,0.001,1.0,0.9
0.34575,0.8240683102391588,0.7646897275049422,0.01,40.0,1.0,0.0289226319595083,0.01,0.3608098336948662,0.0011865566542837,0.9570552147239264,0.3383947939262473,0.5,0.4796717650634347,0.0080244554833779,0.8374620197048553,0.7919847957750321,0.0011480642255774,0.7266291843944883,0.6634062717055117,4000,0.0005008184188045,TraceLog,trial_0011_9cf13f2c,11,5,59.56286031939089,3741.921875,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,11,trial_0011_9cf13f2c,0.003,1.0,0.001,1.0,0.99
0.34575,0.8249420953325094,0.769836637504525,0.01,40.0,0.95,0.0274765003615329,0.01,0.3051337671728127,0.0008736459212377,0.923728813559322,0.3152566883586406,0.4700808625336927,0.4444937617258485,0.0137562094000764,0.8241661189104778,0.7659920556671518,0.0007646041685729,0.7287304130537553,0.6520508713739974,4000,0.0004228998995386,TraceLog,trial_0012_6fd30fe0,11,5,58.933952540159225,3725.609375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,12,trial_0012_6fd30fe0,0.003,1.0,0.001,2.0,0.5
0.34575,0.8505498698509191,0.7812222552784358,0.01,40.0,0.95,0.0274765003615329,0.01,0.3015184381778741,0.0011557365069165,0.9308035714285714,0.3015184381778741,0.4554888039322774,0.4368629390519619,0.0118456247611769,0.8594494919060562,0.7939957438648413,0.00080854497588,0.5903760411857395,0.5826903217232998,4000,0.0008953733467496,TraceLog,trial_0013_ee06112b,11,4,46.02281949296594,3725.609375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,13,trial_0013_ee06112b,0.003,1.0,0.001,2.0,0.7
0.34575,0.8118480285336076,0.7521155030188651,0.01,40.0,0.95,0.0274765003615329,0.01,0.2827187274041938,0.0008030167664401,0.9035874439461884,0.2913955169920463,0.4406779661016949,0.4154927210059393,0.0164310278945357,0.7990559529147951,0.7370660386760496,0.0005671590110032,0.6096281861381904,0.5666880691635996,4000,0.0004665405424311,TraceLog,trial_0014_0edbd670,11,5,68.26789183914661,3725.609375,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,14,trial_0014_0edbd670,0.003,1.0,0.001,2.0,0.9
0.34575,0.8374925503776824,0.7802340575343606,0.01,40.0,1.0,0.0289226319595083,0.01,0.3600867678958785,0.0013851492071989,0.950381679389313,0.3600867678958785,0.5222863135815417,0.4935869827667229,0.0099350401222774,0.8478483888231765,0.7901537794554561,0.0016169055581631,0.6260914024796432,0.6194914938180334,4000,0.0005389463221654,TraceLog,trial_0015_06aaf7b6,11,4,52.56756145507097,3725.953125,2668.736328125,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_best_core_structure,tracelog_best_structure,15,trial_0015_06aaf7b6,0.003,1.0,0.001,2.0,0.99
